,Unnamed: 0,Condition Name,Overview,Symptoms,Prevention,Treatment
10,10,Decentry,"Dysentery is a type of gastroenteritis that results in diarrhea with blood.[1][7] Other symptoms mayinclude fever, abdominal pain, and a feeling of incomplete defecation","abdominal cramps or painnauseavomitingfever of 100.4°F (38°C) or higherdehydration, which can become life-threatening if left untreated","Wash your hands thoroughly with soap and water after going to the toilet. Read more about howto wash your hands.Stay away from work or school until you've been completely free from any symptoms for at least48 hours.Help young children to wash their hands properly.Do not prepare food for others until you've been free of symptoms for at least 48 hours.Do not go swimming until you've been free of symptoms for at least 48 hours.Where possible, stay away from other people until your symptoms have stopped.Wash all dirty clothes, bedding and towels on the hottest cycle of your washing machine.Clean toilet seats and toilet bowls, flush handles, taps and sinks with detergent and hot waterafter use, followed by a household disinfectant.Avoid sexual contact until you've been free of symptoms for at least 48 hours.","As dysentery usually gets better on its own after 3 to 7 days, treatment is not usually needed.However, it's important to drink plenty of fluids and use oral rehydration solutions if necessaryto avoid dehydration."
11,11,cholerae,"Is an infectious disease that causes severe watery diarrhea, which can lead to dehydration andeven death if untreated. It is caused by eating food or drinking water contaminated with abacterium called Vibrio cholerae.","Rapid heart rateLoss of skin elasticity (the ability to return to original position quickly if pinched)Dry mucous membranes, including the inside of the mouth, throat, nose, and eyelidsLow blood pressureThirstMuscle cramps","1.Make sure to drink and use safe water to brush your teeth, wash and prepare food, and make ice. ...2.Wash your hands often with soap and safe water* ...3.Use latrines or bury your poop; do not poop in any body of water. ...4.Cook food well (especially seafood), keep it covered, and eat it hot.","Rehydration. The goal is to replace lost fluids and electrolytes using a simple rehydrationsolution, oral rehydration salts (ORS). The ORS solution is available as a powder that can be made with boiled or bottled water.Without rehydration, approximately half the people with cholera die. With treatment, fatalities drop to less than 1%.Intravenous fluids. Most people with cholera can be helped by oral rehydration alone, butseverely dehydrated people might also need intravenous fluids.Antibiotics. While not a necessary part of cholera treatment, some antibiotics can reduce cholerarelated diarrhea and shorten how long it lasts in severely ill people.Zinc supplements. Research has shown that zinc might decrease diarrhea and shorten how long itlasts in children with cholera."
12,12,pneumonia,Is a lung infection that can range from mild.It happens when an infection causes the air sacs inyour lungs (your doctor will call them alveoli) to fill with fluid or pus. That can make it hard foryou to breathe in enough oxygen to reach your bloodstream.,"Chest pain when you breathe or coughCough that produces phlegm or mucusFatigue and loss of appetiteFever, sweating, and chillsNausea, vomiting, and diarrheaShortness of breath","1.Wash your hands regularly, especially after you go to the bathroom and before you eat.2.Eat right, with plenty of fruits and vegetables.3.Exercise.4.Get enough sleep.5.Quit smoking.6.Stay away from sick people, if possible","Antibiotics can treat many forms of pneumonia. A highly contagious viral infection which causes an itchy, blister-like rash on the skin."
13,13,Chickenpox,is highly contagious to those who haven't had the disease or been vaccinated against it.,"itch, blister-like rash on the skin.",Chickenpox can be prevented by a vaccine.,"Treatment usually involves relieving symptoms, although high-risk groups may receive antiviralmedication."
14,14,Measles,"Is a viral infection that starts in the respiratory system. It still remains a significant cause of deathworldwide, despite the availability of a safe, effective vaccine.","cough,fever,runny nose,red eyes,sore throat                                                  ","Measles can be prevented by vaccination with the measles, mumps and rubella (MMR) vaccine","There’s no specific treatment for measles. Unlike bacterial infections, viral infections aren’tsensitive to antibiotics. The virus and symptoms typically disappear in about two or three weeks.There are some interventions available for people who may have been exposed to the virus.These can help prevent an infection or lessen its severity. They include:a measles vaccine, given within 72 hours of exposurea dose of immune proteins called immunoglobulin, taken within six days of exposure"
15,15,Kala-Azar,"is a slow progressing indigenous disease caused by a protozoan parasite of the genusLeishmania. The parasite primarily infects the reticulo-endothelial system and may be found inabundance in bone marrow, spleen and liver.","Loss of appetite, pallor and weight loss with progressive emaciationWeakness Skin – Dry, thin and scaly and hair may be lost. Light colored person show grayish discolorationof the skin of hands, feet, abdomen and face which gives the Indian name Kala-Azar meaning“Black fever”.Anemia – develops rapidly Splenomegaly – spleen enlarges rapidly to massive enlargement, usually soft and non-tender.Liver – enlargement not to the extent of spleen, soft, smooth surface, sharp edge.","Avoid outdoor activities, especially from dusk to dawn, when sand flies generally are the most active.When outdoors (or in unprotected quarters): Minimize the amount of exposed(uncovered) skin.To the extent that is tolerable in the climate, wear long-sleeved shirts, longpants, and socks; and tuck your shirt into your pants.-Apply insect repellent to exposed skin and under the ends of sleeves and pant legs. Follow the instructions on the label of the repellent. The most effective repellents generally are those that contain the chemical DEET (N,N–diethylmetatoluamide)-Stay in well-screened or air-conditioned areas.-Keep in mind that sand flies are much smaller than mosquitoes and therefore can get through smaller holes.","Medication exists to kill the parasites. If left untreated, severe cases are typically fatal."
16,16,COVID-19,COVID-19 affects different people in different ways. Most infected people will develop mild tomoderate illness and recover without hospitalization.,"feverdry coughtirednessLess common symptoms:aches and painssore throatdiarrhoeaconjunctivitisheadacheloss of taste or smella rash on skin, or discolouration of fingers or toes",Wear a face coverWash your handsKeep a safe distance,"If you have mild symptoms and are otherwise healthy, self-isolate and contact your medicalprovider"
17,17,Influenza,Is caused by a virus that leads to respiratory illness. It is highly contagious and spreads easilythrough coughs and sneezes of an infected person.,"HeadacheAching limbs and jointsHigh temperatureExhaustion, fatigueShivers, cold sweatGastrointestinal symptoms, which include nausea, diarrhea and vomiting (common in childrenthan adults)",Health experts and government agencies worldwide say that the best way to protect yourselffrom influenza is by getting vaccinated every year.,Stay put at homeAvoid direct contact with people till you are curedKeep your hands protected from germs with the help of Dettol Liquid Handwash or HandSanitiserTake rest and keep yourself warmConsume plenty of liquidsAbstain from drinking alcoholStop smoking
18,18,Alsar,"A sore that develops on the lining of the oesophagus, stomach or small intestine.","Symptoms· Vomiting or vomiting blood — which may appear red or black.· Dark blood in stools, or stools that are black or tarry.· Trouble breathing.· Feeling faint.· Nausea or vomiting.· Unexplained weight loss.· Appetite changes.","Avoid foods that irritate your stomach. ...1. Stop smoking. ...2. Practice moderation. ...3. Take nonsteroidal anti-inflammatory drugs (NSAIDS including aspirin andibuprofen) with food, as this may decrease your risk of irritating the lining of your stomach.4. Learn how to control your stress levels.",
19,19,Gastroesophageal,reflux disease (GERD) occurs when stomach acid frequently flows back into the tubeconnecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate thelining of your esophagus.," A burning sensation in your chest (heartburn), usually after eating, which might be worse atnight· Chest pain· Difficulty swallowing· Regurgitation of food or sour liquid· Sensation of a lump in your throat",1. Maintain a healthy weight. ...2. Stop smoking. ...3. Elevate the head of your bed. ...4. Don't lie down after a meal. ...5. Eat food slowly and chew thoroughly. ...6. Avoid foods and drinks that trigger reflux. ...7. Avoid tight-fitting clothing.,"Antacids that neutralize stomach acid. Antacids, such as Mylanta, Rolaids and Tums, may provide quick relief. ...· Medications to reduce acid production. ...·Medications that block acid production and heal theesophagus."
20,20,Epistaxis,"Nosebleeds (also called epistaxis) can occur easily because of the location of the nose and theclose-to-the-surface location of blood vessels in the lining of your nose. Most nosebleeds can behandled at home, but certain symptoms should be checked by a physician.","Excess blood loss may cause dizziness and fainting, confusion, loss of alertness andlight-headedness. ... -Bleeding from other body parts like teeth, gums, nostrils, etc.","Avoid blowing your nose too forcefully. Sneeze through an open mouth. Always sneeze intotissue or into the bend of your arm. Avoid putting anything solid into your nose, includingfingers.","Sitting upright, leaning slightly forward and pinching both nostrils shut for 5 to 10 minutes may help stop a nosebleed"
21,21,jock itch,"Tinea cruris, most commonly known as jock itch, is a fungal infection of the skin.It belongs to a group of fungal skin infections called tinea. Like other tinea infections, jock itchis caused by mold-like fungi, which are known as dermatophytes. These microscopic fungi liveon the skin as well as on the hair and nails.","persistent itchingburning sensationflaking, peeling, or cracking skinrash that gets worse with exercise or activitychanges in skin colorrash that doesn’t improve or worsens, or spreads with over-the-counter hydrocortisone(anti-itch) cream",Bathe. Shower or take a bath daily and again after playing sports or workingout.· Stay dry. Pat your groin area dry with a clean towel. ...· Don't share. Don't let others use your towels or other personal items.· Wear clean clothes. ...· Don't wear tight-fitting clothes and underwear.,"Apply an over-the-counter antifungal cream, powder, or spray to the affected area.  Wash the affected area thoroughly with soap and warm water.Dry the affected area thoroughly after bathing and exercise. Change clothes and undergarments every day.Wear loose cotton clothing.Treat any other fungal infections, such as athlete’s foot."
22,22,Fungal infection,"A fungal infection, also called mycosis, is a skin disease caused by a fungus.There are millions of species of fungi. They live in the dirt, on plants, on household surfaces, andon your skin. Sometimes, they can lead to skin problems like rashes or bumps.","A fungal skin infection might cause:Irritation,Scaly skin,Redness,Itching,Swelling,Blisters","To prevent fungal infections from taking a foothold at home, your best defense is to keep skin clean and dry. Change underwear and socks daily. Let your sneakers air out and wash them regularly",Treatments include antifungal medication.
23,23,Abdominal aortic aneurysm,"An abdominal aortic aneurysm (AAA) is a bulge or swelling in the aorta, the main blood vessel that runs from the heart down through the chest and tummy. An AAA can be dangerous if it is not spotted early on. It can get bigger over time and could burst (rupture), causing life-threatening bleeding.",a pulsing sensation in the tummy (like a heartbeat);tummy pain that does not go away;lower back pain that does not go away;,,Treatment for a:1. small AAA (3cm to 4.4cm across) – ultrasound scans are recommended every year to check if it's getting bigger; you'll be advised about healthy lifestyle changes to help stop it growing;2. medium AAA (4.5cm to 5.4cm) – ultrasound scans are recommended every 3 months to check if it's getting bigger; you'll also be advised about healthy lifestyle changes;3. large AAA (5.5cm or more) – surgery to stop it getting bigger or bursting is usually recommended;
24,24,Abortion,An abortion is a procedure to end a pregnancy.It's also sometimes known as a termination of pregnancy.The pregnancy is ended either by taking medicines or having a surgical procedure.,it's normal for chest pain to persist for a while after treatment. Drinking cold water may help relieve this.You should see your GP if you still have swallowing difficulties or are continuing to lose weight after treatmeant.,,surgical abortion – you have a procedure to remove the pregnancy and normally go home soon afterwards
25,25,Abscess,"An abscess is a painful collection of pus, usually caused by a bacterial infection. Abscesses can develop anywhere in the body",a smooth swelling under your skin;pain and tenderness in the affected area;warmth and redness in the affected area;a visible build-up of white or yellow pus under the skin in the affected area;a high temperature;chills;A boil is a common example of a skin abscess;,,antibiotics ;a drainage procedure;surgery;
26,26,Acanthosis nigricans,"Acanthosis nigricans is the name for dry, dark patches of skin that usually appear in the armpits, neck or groin. It could be a sign of an underlying condition, so it needs to be checked by a GP.","The main symptom of acanthosis nigricans is patches of skin that are darker and thicker than usual;Acanthosis nigricans on the neck;The patches are dry and feel similar to velvet;Acanthosis nigricans on the armpit;They're most common in skin folds, such as the armpits, neck or groin;Acanthosis nigricans with skin tags on the armpit;Some people also have tiny growths on the patches;Sometimes the skin may be itchy;",,Medications
27,27,Achalasia,"Achalasia is a rare disorder of the food pipe (oesophagus), which can make it difficult to swallow food and drink.",bringing back up undigested food;choking and coughing fits;heartburn;chest pain;repeated chest infections;drooling of vomit or saliva;gradual but significant weight loss;,,Medication;Stretching the muscle;Botox injection;Surgery;
28,28,Acid and chemical burns,"Burns caused by acid, alkaline or caustic chemicals can be very damaging and need immediate medical attention.",,,continuing to wash off the corrosive substance with water until it's completely removed;cleaning the burn and covering it with an appropriate dressing;pain relief;a tetanus jab if necessary;
29,29,Acid reflux in babies,"Reflux is when a baby brings up milk, or is sick, during or shortly after feeding. It's very common and usually gets better on its own.",bringing up milk or being sick during or shortly after feeding;coughing or hiccupping when feeding;being unsettled during feeding;swallowing or gulping after burping or feeding;crying and not settling;not gaining weight as they're not keeping enough food down;,,Medication; surgery;
30,30,Acne,"Acne is a common skin condition that affects most people at some point. It causes spots, oily skin and sometimes skin that's hot or painful to touch.","a large number of papules and pustules on your chest and back, as well as your face;painful nodules;scarring, or are at risk of scarring;",,"topical retinoids;topical antibiotics;azelaic acid;antibiotic tablets;in women, the combined oral contraceptive pill;"
31,31,Acoustic neuroma (vestibular schwannoma),An acoustic neuroma is a type of non-cancerous (benign) brain tumour. It's also known as a vestibular schwannoma.,"hearing loss that usually only affects 1 ear;hearing sounds that come from inside the body (tinnitus);the sensation that you're moving or spinning (vertigo);persistent headaches;temporary blurred or double vision;numbness, pain or weakness on 1 side of the face;problems with limb co-ordination (ataxia) on 1 side of the body;a hoarse voice or difficulty swallowing;",,"monitoring the tumour – small tumours often just need to be monitored with regular MRI scans, and the treatments below are generally only recommended if scans show it's getting bigger;brain surgery – surgery to remove the tumour through a cut in the skull may be carried out under general anaesthetic if it's large or getting bigger;stereotactic radiosurgery – small tumours, or any pieces of a larger tumour that remain after surgery, may be treated with a precise beam of radiation to stop them getting any bigger;"
32,32,Acromegaly,"Acromegaly is a rare condition where the body produces too much growth hormone, causing body tissues and bones to grow more quickly.","swollen hands and feet – you may notice a change in your ring or shoe size;tiredness and difficulty sleeping, and sometimes sleep apnoea;gradual changes in your facial features, such as your brow, lower jaw and nose getting larger, or your teeth becoming more widely spaced;numbness and weakness in your hands, caused by a compressed nerve (carpal tunnel syndrome);Children and teenagers will be abnormally tall;abnormally large hands and feet;large, prominent facial features (such as the nose and lips) and an enlarged tongue;skin changes – such as thick, coarse, oily skin, skin tags, or sweating too much;deepening of the voice as a result of enlarged sinuses and vocal cords;joint pain;tiredness and weakness;headaches;blurred or reduced vision;loss of sex drive;abnormal periods (in women) and erection problems (in men);",,surgery;medication;Radiotherapy;
33,33,Actinic keratoses (solar keratoses),Actinic keratoses (also called solar keratoses) are dry scaly patches of skin that have been damaged by the sun.,"this is the first time you have noticed patches on your skin;the patches begin to bleed, get bigger, change colour, feel tender or develop into a lump;",,"prescription creams and gels;freezing the patches (cryotherapy), this makes the patches turn into blisters and fall off after a few weeks;surgery to cut out or scrape away the patches – you will be given a local anaesthetic first, so it does not hurt;photodynamic therapy (PDT), where special cream is applied to the patches and a light is shone onto them to kill abnormal skin cells;"
34,34,Actinomycosis,Actinomycosis is a rare type of bacterial infection. It can be very serious but can usually be cured with antibiotics.,,,Medications;surgery;
35,35,Acupuncture,Acupuncture is a treatment derived from ancient Chinese medicine. Fine needles are inserted at certain sites in the body for therapeutic or preventative purposes.,,,
36,36,Acute cholecystitis,Acute cholecystitis is inflammation of the gallbladder. It usually happens when a gallstone blocks the cystic duct.,"The main symptom of acute cholecystitis is a sudden, sharp pain in the upper right-hand side of your tummy (abdomen). This pain spreads towards your right shoulder.;a high temperature (fever);feeling sick;being sick;sweating;loss of appetite;yellowing of the skin and the whites of the eyes (jaundice);a bulge in the tummy;",,Medication; surgery;
37,37,Acute kidney injury,Acute kidney injury (AKI) is where your kidneys suddenly stop working properly. It can range from minor loss of kidney function to complete kidney failure.,feeling sick or being sick;diarrhoea;dehydration;peeing less than usual;confusion;drowsiness;,,surgery;medication;
38,38,Acute lymphoblastic leukaemia,Acute lymphoblastic leukaemia is a type of cancer that affects white blood cells. It progresses quickly and aggressively and requires immediate treatment. Both adults and children can be affected.,"pale skin;feeling tired and breathless;repeated infections over a short time;unusual and frequent bleeding, such as bleeding gums or nosebleeds;high temperature;night sweats;bone and joint pain;easily bruised skin;swollen lymph nodes (glands);tummy (abdominal pain) – caused by a swollen liver or spleen;unintentional weight loss;a purple skin rash (purpura);",,"remission induction – the first stage of treatment aims to kill the leukaemia cells in your bone marrow, restore the balance of cells in your blood and resolve any symptoms you may have;consolidation – this stage aims to kill any remaining leukaemia;maintenance – this stage involves taking regular doses of chemotherapy medicines to prevent leukaemia from returning;"
39,39,Acute myeloid leukaemia,"Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses quickly and aggressively, and usually requires immediate treatment.","looking pale or ""washed out"";feeling tired or weak;breathlessness;frequent infections;unusual and frequent bruising or bleeding, such as bleeding gums or nosebleeds;losing weight without trying to;",,chemotherapy;Radiotherapy;
40,40,Acute pancreatitis,Acute pancreatitis is a condition where the pancreas becomes inflamed (swollen) over a short period of time.,suddenly getting severe pain in the centre of your tummy (abdomen);feeling or being sick;diarrhoea;a high temperature of 38C or more (fever);,,fluids;oxygen;medications;
41,41,Acute respiratory distress syndrome,Acute respiratory distress syndrome (ARDS) is a life-threatening condition where the lungs cannot provide the body's vital organs with enough oxygen.,"severe shortness of breathrapid, shallow breathingtiredness, drowsiness or confusionfeeling faint",,Medication;
42,42,Addison's disease,"Addison's disease, also known as primary adrenal insufficiency or hypoadrenalism, is a rare disorder of the adrenal glands.",lack of energy or motivation (fatigue);muscle weakness;low mood;loss of appetite and unintentional weight loss;increased thirst;,,Medication;
43,43,Adenoidectomy,An adenoidectomy is an operation to remove the adenoids.,,,
44,44,Age-related cataracts,"Cataracts are when the lens, a small transparent disc inside your eye, develops cloudy patches.",your eyesight is blurred or misty;you find lights too bright or glaring;you find it harder to see in low light;colours look faded;,,"If your cataracts are not too bad, stronger glasses and brighter reading lights may help for a while;"
45,45,Agoraphobia,Agoraphobia is a fear of being in situations where escape might be difficult or that help wouldn't be available if things go wrong.,rapid heartbeat;rapid breathing (hyperventilating);feeling hot and sweaty;feeling sick;chest pain;difficulty swallowing (dysphagia);diarrhoea ;trembling;dizziness ;ringing in the ears (tinnitus);feeling faint;,,Cognitive behavioural therapy (CBT); self help therapy;
46,46,Air or gas embolism,An air or gas embolism is a bubble that becomes trapped in a blood vessel and blocks it.,"joint or muscle pain;low blood pressure, which may cause dizziness;an irregular heartbeat;breathlessness and fast breathing;blurred vision;chest pain;strong feelings of anxiety;itchy skin;a blue tinge to the skin (cyanosis);bloody froth from the mouth;paralysis or weakness, possibly of one or more limbs;fits;loss of consciousness;",,Oxygen Intake
47,47,Albinism,"Albinism affects the production of melanin, the pigment that colours skin, hair and eyes. It's a lifelong condition, but it does not get worse over time.","poor eyesight – either short-sightedness or long-sightedness, and low vision (sight loss that cannot be corrected);astigmatism – where the cornea (clear layer at the front of the eye) is not perfectly curved or the lens is an abnormal shape, causing blurred vision;photophobia – where the eyes are sensitive to light;nystagmus – where the eyes move involuntarily from side to side, causing reduced vision; you do not see the world as ""wobbling"" because your brain adapts to your eye movement;squint – where the eyes point in different directions;",,Glasses; laser treatment;
48,48,Alcohol misuse,"Alcohol misuse is when you drink in a way that's harmful, or when you're dependent on alcohol. To keep health risks from alcohol to a low level, both men and women are advised not to regularly drink more than 14 units a week.",heart disease;stroke;liver disease;liver cancer;bowel cancer;mouth cancer;breast cancer;pancreatitis;,,"counselling – including self-help groups and talking therapies, such as cognitive behavioural therapy (CBT);medicines;detoxification – this involves a nurse or doctor supporting you to safely stop drinking; this can be done by helping you slowly cut down over time or by giving you medicines to prevent withdrawal symptoms;"
49,49,Alcohol poisoning,"Alcohol poisoning occurs when a person drinks a toxic amount of alcohol, usually over a short period of time (binge drinking).",confusion;severely slurred speech;loss of co-ordination;vomiting;irregular or slow breathing;pale or blue-tinged skin caused by low body temperature (hypothermia);being conscious but unresponsive (stupor);passing out and being unconscious;,,"inserting a tube into their mouth and windpipe (intubation) to open the airway, remove any blockages and help with breathing;fitting an intravenous drip, which goes directly into a vein, to top up their water, blood sugar and vitamin levels;fitting a catheter to their bladder to drain urine straight into a bag so they do not wet themselves;"
50,50,Alcohol-related liver disease,Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.,feeling sick;weight loss;loss of appetite;yellowing of the eyes and skin (jaundice);swelling in the ankles and tummy;confusion or drowsiness;vomiting blood or passing blood in your stools;,,"There's currently no specific medical treatment for ARLD. The main treatment is to stop drinking, preferably for the rest of your life.;"
51,51,Alexander technique,"The Alexander technique teaches improved posture and movement, which is believed to help reduce and prevent problems caused by unhelpful habits.",,,
